Lastname,Property ID,Image,Township,Property Use,Neighborhood,Site Address,Owner Name and Address,Mailing Name and Address
cnh,29-005-017-000-0000,['/video/10000410/HA121626.JPG'],HALIFAX TWP,L01 - BLDG LOT-UNDER 1 ACRE,29001 - HALIFAX- GENERAL,TOURIST PARK RD,"CNH PROPERTIES LLC
                    P O BOX 6369
HARRISBURG, PA 17112","CNH PROPERTIES LLC
                    P O BOX 6369
HARRISBURG, PA 17112"
cnh,34-010-016-000-0000,['/video/19990724/JO135008.JPG'],LONDONDERRY TWP,L01 - BLDG LOT-UNDER 1 ACRE,34008 - LONDONDERRY TWP. S OF TURNPIKE,RIDGE RD,"CNH PROPERTIES
                    1330 QUAIL HOLLOW RD
HARRISBURG, PA 17109","CNH PROPERTIES
                    1330 QUAIL HOLLOW RD
HARRISBURG, PA 17109"
cnh,35-018-182-000-0000,['/video/10000331/IV142823.JPG'],LOWER PAXTON TWP,L01 - BLDG LOT-UNDER 1 ACRE,35038 - BLUE EAGLE / WENRICH AREA,1018 BALTHASER ST,"CNH PROPERTIES LLC
                    P O BOX 6369
HARRISBURG, PA 17112","CNH PROPERTIES LLC
                    P O BOX 6369
HARRISBURG, PA 17112"
cnh,35-018-204-000-0000,['/video/10000331/IV142759.JPG'],LOWER PAXTON TWP,L01 - BLDG LOT-UNDER 1 ACRE,35038 - BLUE EAGLE / WENRICH AREA,1016 BALTHASER ST,"CNH PROPERTIES LLC
                    P O BOX 6369
HARRISBURG, PA 17112","CNH PROPERTIES LLC
                    P O BOX 6369
HARRISBURG, PA 17112"
cnh,35-084-101-000-0000,"['/video/39990311/MB111027.JPG', '/sketches/2018/260792.JPG']",LOWER PAXTON TWP,R05 - SPLIT LEVEL RESIDENCE,35047 - I-81 / JONESTOWN RD. BLOCK,4903 LOOP CT,"CNH PROPERTIES LLC
                    1330 QUAIL HOLLOW RD
HARRISBURG, PA 17112","CNH PROPERTIES LLC
                    1330 QUAIL HOLLOW RD
HARRISBURG, PA 17112"
cnh,35-088-120-000-0000,['/video/29990611/MB102730.JPG'],LOWER PAXTON TWP,L01 - BLDG LOT-UNDER 1 ACRE,35043 - RUTHERFORD/LOCUST LN./NYES RD.,WILLOW SPRING RD,"CNH PROPERTIES LLC
                    P O BOX 6369
HARRISBURG, PA 17112","CNH PROPERTIES LLC
                    P O BOX 6369
HARRISBURG, PA 17112"
cnh,38-001-026-000-0000,['/video/29990724/AO112335.JPG'],LYKENS BORO,L01 - BLDG LOT-UNDER 1 ACRE,38002 - LYKENS BORO. - NORTHSIDE,EAST OF DIVISION ST,"CNH PROPERTIES LLC
                    P O BOX 6369
HARRISBURG, PA 17112","CNH PROPERTIES LLC
                    P O BOX 6369
HARRISBURG, PA 17112"
cnh,38-001-028-000-0000,['/video/29990724/AO112315.JPG'],LYKENS BORO,L01 - BLDG LOT-UNDER 1 ACRE,38002 - LYKENS BORO. - NORTHSIDE,EAST OF DIVISION ST,"CNH PROPERTIES LLC
                    P O BOX 6369
HARRISBURG, PA 17112","CNH PROPERTIES LLC
                    P O BOX 6369
HARRISBURG, PA 17112"
cnh,60-008-010-000-0000,"['/video/59990401/M1114821.JPG', '/sketches/2018/310386.JPG']",STEELTON BORO,R03 - 2 STORY RESIDENCE,60001 - NORTH OF FORNT ST,554 N 3RD ST,"CNH PROPERTIES LLC
                    1330 QUAIL HOLLOW RD
HARRISBURG, PA 17112","CNH PROPERTIES LLC
                    1330 QUAIL HOLLOW RD
HARRISBURG, PA 17112"
cnh,65-032-032-000-0000,"['/video/39990528/DS153246.JPG', '/sketches/2018/237906.JPG']",UPPER PAXTON TWP,R02 - 1 1/2 STORY RESIDENCE,65001 - UPPERPAXTON GENERAL,SOUTH OF CENTER ST,"CNH PROPERTIES LLC
                    P O BOX 6369
HARRISBURG, PA 17112","CNH PROPERTIES LLC
                    P O BOX 6369
HARRISBURG, PA 17112"
cnh,66-008-009-000-0000,['/video/39990518/MI121830.JPG'],WASHINGTON TWP,L10 - QUARRY/MINERAL LANDS,66001 - WASHINGTON TWP,ROUTE 225,"CNH PROPERTIES
                    1330 QUAIL HOLLOW RD
HARRISBURG, PA 17109","CNH PROPERTIES
                    1330 QUAIL HOLLOW RD
HARRISBURG, PA 17109"
cnh,68-001-018-000-0000,['/video/29990516/AG101913.JPG'],WEST HANOVER TWP,L01 - BLDG LOT-UNDER 1 ACRE,68001 - NORTHSIDE OF WEST HANOVER,FISHING CREEK VALLEY,"CNH PROPERTIES LLC
                    P O BOX 6369
HARRISBURG, PA 17112","CNH PROPERTIES LLC
                    P O BOX 6369
HARRISBURG, PA 17112"
